"","data.id","name","number.of.features","number.of.instances","number.of.numeric.features","number.of.symbolic.features","clusters","miss"
"777",934,"socmob",6,1156,1,5,8,FALSE
"778",935,"fri_c1_250_10",11,250,10,1,6,FALSE
"779",936,"fri_c3_500_10",11,500,10,1,6,FALSE
"780",937,"fri_c3_500_50",51,500,50,1,6,FALSE
"781",938,"sleuth_ex1221",11,42,8,3,6,FALSE
"782",939,"chscase_whale",10,228,9,1,9,TRUE
"783",940,"water-treatment",39,527,21,18,11,TRUE
"784",941,"lowbwt",10,189,2,8,8,FALSE
"785",942,"chscase_health",5,50,2,3,6,FALSE
"786",943,"fri_c0_500_10",11,500,10,1,6,FALSE
"787",944,"echoMonths",10,130,6,4,9,TRUE
"788",945,"kidney",7,76,3,4,8,FALSE
"789",946,"visualizing_ethanol",3,88,2,1,6,FALSE
"790",947,"arsenic-male-bladder",5,559,3,2,6,FALSE
"791",949,"arsenic-female-bladder",5,559,3,2,6,FALSE
"792",950,"arsenic-female-lung",5,559,3,2,6,FALSE
"793",951,"arsenic-male-lung",5,559,3,2,6,FALSE
"795",953,"splice",62,3190,0,62,13,FALSE
"796",954,"spectrometer",103,531,100,3,6,FALSE
"797",955,"tae",6,151,3,3,6,FALSE
"799",957,"braziltourism",9,412,4,5,9,TRUE
"800",958,"segment",20,2310,19,1,6,FALSE
"801",959,"nursery",9,12960,0,9,4,FALSE
"802",960,"postoperative-patient-data",9,90,0,9,9,TRUE
"803",961,"analcatdata_broadwaymult",8,285,3,5,9,TRUE
"804",962,"mfeat-morphological",7,2000,6,1,6,FALSE
"806",964,"pasture",23,36,21,2,6,FALSE
"807",965,"zoo",18,101,1,17,11,FALSE
"808",966,"analcatdata_halloffame",18,1340,15,3,9,TRUE
"809",967,"cars",9,406,6,3,9,TRUE
"810",968,"analcatdata_birthday",4,365,1,3,9,TRUE
"811",969,"iris",5,150,4,1,6,FALSE
"812",970,"analcatdata_authorship",71,841,70,1,6,FALSE
"813",971,"mfeat-fourier",77,2000,76,1,6,FALSE
"814",972,"squash-stored",25,52,21,4,9,TRUE
"815",973,"wine",14,178,13,1,6,FALSE
"816",974,"hayes-roth",5,132,4,1,6,FALSE
"817",975,"autos",26,205,15,11,9,TRUE
"818",976,"JapaneseVowels",15,9961,14,1,4,FALSE
"819",977,"letter",17,20000,16,1,4,FALSE
"820",978,"mfeat-factors",217,2000,216,1,2,FALSE
"821",979,"waveform-5000",41,5000,40,1,6,FALSE
"822",980,"optdigits",65,5620,64,1,6,FALSE
"823",981,"kdd_internet_usage",69,10108,0,69,13,TRUE
"825",983,"cmc",10,1473,2,8,8,FALSE
"826",984,"analcatdata_draft",6,366,3,3,9,TRUE
"827",985,"squash-unstored",24,52,20,4,9,TRUE
"828",986,"analcatdata_marketing",33,364,0,33,11,TRUE
"829",987,"collins",24,500,20,4,8,FALSE
"830",988,"fl2000",16,67,14,2,6,FALSE
"831",989,"anneal",39,898,6,33,11,TRUE
"832",990,"eucalyptus",20,736,14,6,9,TRUE
"833",991,"car",7,1728,0,7,8,FALSE
"834",992,"analcatdata_broadway",10,95,3,7,9,TRUE
"835",993,"kdd_ipums_la_97-small",61,7019,33,28,11,TRUE
"836",994,"vehicle",19,846,18,1,6,FALSE
"837",995,"mfeat-zernike",48,2000,47,1,6,FALSE
"838",996,"prnn_fglass",10,214,9,1,6,FALSE
"839",997,"balance-scale",5,625,4,1,6,FALSE
"840",998,"analcatdata_bondrate",12,57,4,8,9,TRUE
"841",999,"audiology",70,226,0,70,13,TRUE
"842",1000,"hypothyroid",30,3772,7,23,11,TRUE
"843",1001,"sponge",46,76,0,46,11,TRUE
"844",1002,"ipums_la_98-small",56,7485,16,40,11,TRUE
"845",1003,"primary-tumor",18,339,0,18,11,TRUE
"846",1004,"synthetic_control",62,600,60,2,6,FALSE
"847",1005,"glass",10,214,9,1,6,FALSE
"848",1006,"lymph",19,148,3,16,11,FALSE
"849",1007,"bridges",13,107,3,10,9,TRUE
"850",1008,"analcatdata_reviewer",9,379,0,9,9,TRUE
"851",1009,"white-clover",32,63,27,5,8,FALSE
"852",1010,"dermatology",35,366,1,34,11,TRUE
"853",1011,"ecoli",8,336,7,1,6,FALSE
"854",1012,"flags",30,194,2,28,11,FALSE
"855",1013,"analcatdata_challenger",3,138,1,2,6,FALSE
"856",1014,"analcatdata_dmft",5,797,0,5,8,FALSE
"857",1015,"confidence",4,72,3,1,6,FALSE
"858",1016,"vowel",14,990,10,4,8,FALSE
"859",1017,"arrhythmia",280,452,206,74,13,TRUE
"860",1018,"ipums_la_99-small",57,8844,15,42,11,TRUE
"861",1019,"pendigits",17,10992,16,1,4,FALSE
"862",1020,"mfeat-karhunen",65,2000,64,1,6,FALSE
"863",1021,"page-blocks",11,5473,10,1,6,FALSE
"864",1022,"mfeat-pixel",241,2000,0,241,11,FALSE
"865",1023,"soybean",36,683,0,36,11,TRUE
"866",1025,"analcatdata_germangss",6,400,0,6,8,FALSE
"867",1026,"grub-damage",9,155,2,7,8,FALSE
"873",1037,"ada_prior",15,4562,6,9,9,TRUE
"874",1038,"gina_agnostic",971,3468,970,1,13,FALSE
"875",1039,"hiva_agnostic",1618,4229,1617,1,13,FALSE
"876",1040,"sylva_prior",109,14395,108,1,4,FALSE
"878",1042,"gina_prior",785,3468,784,1,13,FALSE
"880",1045,"kc1-top5",95,145,94,1,6,FALSE
"881",1046,"mozilla4",6,15545,5,1,4,FALSE
"883",1048,"jEdit_4.2_4.3",9,369,8,1,6,FALSE
"884",1049,"pc4",38,1458,37,1,6,FALSE
"885",1050,"pc3",38,1563,37,1,6,FALSE
"887",1053,"jm1",22,10885,21,1,9,TRUE
"888",1054,"mc2",40,161,39,1,6,FALSE
"889",1055,"cm1_req",9,89,7,2,6,FALSE
"890",1056,"mc1",39,9466,38,1,4,FALSE
"892",1059,"ar1",30,121,29,1,6,FALSE
"893",1060,"ar3",30,63,29,1,6,FALSE
"894",1061,"ar4",30,107,29,1,6,FALSE
"895",1062,"ar5",30,36,29,1,6,FALSE
"896",1063,"kc2",22,522,21,1,6,FALSE
"897",1064,"ar6",30,101,29,1,6,FALSE
"898",1065,"kc3",40,458,39,1,6,FALSE
"899",1066,"kc1-binary",95,145,94,1,6,FALSE
"900",1067,"kc1",22,2109,21,1,6,FALSE
"901",1068,"pc1",22,1109,21,1,6,FALSE
"902",1069,"pc2",37,5589,36,1,6,FALSE
"904",1071,"mw1",38,403,37,1,6,FALSE
"906",1073,"jEdit_4.0_4.2",9,274,8,1,6,FALSE
"907",1075,"datatrieve",9,130,8,1,6,FALSE
"917",1085,"anthracyclineTaxaneChemotherapy",61360,159,61359,1,7,FALSE
"932",1101,"lymphoma_2classes",4027,45,4026,1,10,TRUE
"935",1104,"leukemia",7130,72,7129,1,10,FALSE
"937",1107,"tumors_C",7130,60,7129,1,10,FALSE
"940",1111,"KDDCup09_appetency",231,50000,192,39,3,TRUE
"941",1112,"KDDCup09_churn",231,50000,192,39,3,TRUE
"943",1114,"KDDCup09_upselling",231,50000,192,39,3,TRUE
"945",1116,"musk",170,6598,167,3,2,FALSE
"947",1119,"adult-census",16,32561,7,9,3,TRUE
"948",1120,"MagicTelescope",12,19020,11,1,4,FALSE
"949",1121,"badges2",12,294,8,4,8,FALSE
"950",1122,"AP_Breast_Prostate",10937,413,10936,1,1,FALSE
"951",1123,"AP_Endometrium_Breast",10937,405,10936,1,1,FALSE
"952",1124,"AP_Omentum_Uterus",10937,201,10936,1,1,FALSE
"953",1125,"AP_Omentum_Prostate",10937,146,10936,1,1,FALSE
"954",1126,"AP_Colon_Lung",10937,412,10936,1,1,FALSE
"955",1127,"AP_Breast_Omentum",10937,421,10936,1,1,FALSE
"956",1128,"OVA_Breast",10937,1545,10936,1,1,FALSE
"957",1129,"AP_Uterus_Kidney",10937,384,10936,1,1,FALSE
"958",1130,"OVA_Lung",10937,1545,10936,1,1,FALSE
"959",1131,"AP_Prostate_Uterus",10937,193,10936,1,1,FALSE
"960",1132,"AP_Omentum_Lung",10937,203,10936,1,1,FALSE
"961",1133,"AP_Endometrium_Colon",10937,347,10936,1,1,FALSE
"962",1134,"OVA_Kidney",10937,1545,10936,1,1,FALSE
"963",1135,"AP_Colon_Prostate",10937,355,10936,1,1,FALSE
"964",1136,"AP_Lung_Uterus",10937,250,10936,1,1,FALSE
"965",1137,"AP_Colon_Kidney",10937,546,10936,1,1,FALSE
"966",1138,"OVA_Uterus",10937,1545,10936,1,1,FALSE
"967",1139,"OVA_Omentum",10937,1545,10936,1,1,FALSE
"968",1140,"AP_Ovary_Lung",10937,324,10936,1,1,FALSE
"969",1141,"AP_Endometrium_Prostate",10937,130,10936,1,1,FALSE
"970",1142,"OVA_Endometrium",10937,1545,10936,1,1,FALSE
"971",1143,"AP_Colon_Omentum",10937,363,10936,1,1,FALSE
"972",1144,"AP_Prostate_Kidney",10937,329,10936,1,1,FALSE
"973",1145,"AP_Breast_Colon",10937,630,10936,1,1,FALSE
"974",1146,"OVA_Prostate",10937,1545,10936,1,1,FALSE
"975",1147,"AP_Omentum_Kidney",10937,337,10936,1,1,FALSE
"976",1148,"AP_Breast_Uterus",10937,468,10936,1,1,FALSE
"977",1149,"AP_Ovary_Kidney",10937,458,10936,1,1,FALSE
"978",1150,"AP_Breast_Lung",10937,470,10936,1,1,FALSE
"979",1151,"AP_Endometrium_Omentum",10937,138,10936,1,1,FALSE
"980",1152,"AP_Prostate_Ovary",10937,267,10936,1,1,FALSE
