"id","var_per","row_per","miss_per","num_per","cat_per","miss_inst_per"
4,58.82,1.75,3.07,30,70,1.79
4,47.06,1.75,2.45,37.5,62.5,1.79
4,58.82,1.75,3.07,40,60,1.79
4,41.18,1.75,2.15,42.9,57.1,1.79
4,52.94,1.75,2.76,44.4,55.6,1.79
4,41.18,1.75,2.15,42.9,57.1,1.79
13,10,2.94,11.11,0,100,88.89
13,10,0.37,11.11,0,100,11.11
15,10,3.02,7.14,0,100,100
24,4.55,30.53,0.04,0,100,100
25,3.7,5.43,0.05,0,100,5.54
25,3.7,1.09,0.05,0,100,1.11
25,7.41,2.17,0.1,0,100,2.22
25,7.41,1.36,0.1,0,100,1.39
25,11.11,4.62,0.16,0,100,4.71
25,3.7,1.36,0.05,0,100,1.39
25,7.41,0.82,0.1,0,100,0.83
25,11.11,0.27,0.16,0,100,0.28
25,11.11,0.27,0.16,0,100,0.28
25,14.81,0.82,0.21,0,100,0.83
25,7.41,1.09,0.1,0,100,1.11
25,7.41,0.27,0.1,0,100,0.28
25,11.11,0.27,0.16,0,100,0.28
25,11.11,0.27,0.16,0,100,0.28
25,3.7,0.27,0.05,0,100,0.28
25,11.11,0.27,0.16,0,100,0.28
25,11.11,0.27,0.16,0,100,0.28
25,14.81,0.27,0.21,0,100,0.28
25,11.11,0.82,0.16,0,100,0.83
25,14.81,0.27,0.21,0,100,0.28
25,18.52,2.45,0.26,0,100,2.49
25,14.81,0.54,0.21,0,100,0.55
25,22.22,1.63,0.31,0,100,1.66
25,3.7,0.54,0.05,100,0,0.55
25,7.41,0.27,0.1,50,50,0.28
25,7.41,0.27,0.1,50,50,0.28
25,11.11,0.27,0.16,33.3,66.7,0.28
25,11.11,0.27,0.16,33.3,66.7,0.28
25,14.81,0.54,0.21,25,75,0.55
25,7.41,0.54,0.1,50,50,0.55
25,11.11,0.82,0.16,33.3,66.7,0.83
25,11.11,0.27,0.16,33.3,66.7,0.28
25,14.81,0.82,0.21,25,75,0.83
25,14.81,0.82,0.21,25,75,0.83
25,18.52,0.82,0.26,20,80,0.83
25,11.11,0.27,0.16,33.3,66.7,0.28
25,18.52,0.27,0.26,20,80,0.28
25,11.11,0.27,0.16,33.3,66.7,0.28
25,11.11,0.27,0.16,33.3,66.7,0.28
25,11.11,0.27,0.16,33.3,66.7,0.28
25,22.22,0.54,0.31,16.7,83.3,0.55
25,22.22,0.54,0.31,16.7,83.3,0.55
25,25.93,0.27,0.36,14.3,85.7,0.28
25,7.41,0.27,0.1,0,100,0.28
25,7.41,0.27,0.1,0,100,0.28
25,11.11,0.54,0.16,0,100,0.55
25,11.11,0.27,0.16,0,100,0.28
25,14.81,0.82,0.21,0,100,0.83
25,25.93,0.27,0.36,0,100,0.28
25,11.11,0.27,0.16,33.3,66.7,0.28
25,18.52,0.27,0.26,20,80,0.28
25,25.93,0.27,0.36,14.3,85.7,0.28
25,3.7,0.54,0.05,100,0,0.55
25,7.41,1.09,0.1,50,50,1.11
25,11.11,0.27,0.16,33.3,66.7,0.28
25,11.11,0.54,0.16,33.3,66.7,0.55
25,14.81,1.36,0.21,25,75,1.39
25,11.11,0.54,0.16,33.3,66.7,0.55
25,22.22,0.27,0.31,16.7,83.3,0.28
25,11.11,0.54,0.16,66.7,33.3,0.55
25,11.11,0.27,0.16,66.7,33.3,0.28
25,22.22,0.27,0.31,33.3,66.7,0.28
25,22.22,0.27,0.31,33.3,66.7,0.28
25,11.11,0.27,0.16,33.3,66.7,0.28
25,14.81,0.27,0.21,25,75,0.28
25,22.22,0.27,0.31,33.3,66.7,0.28
25,7.41,0.27,0.1,50,50,0.28
25,7.41,0.27,0.1,50,50,0.28
25,14.81,1.63,0.21,25,75,1.66
25,11.11,0.27,0.16,33.3,66.7,0.28
25,18.52,0.54,0.26,20,80,0.55
25,11.11,0.54,0.16,33.3,66.7,0.55
25,11.11,0.27,0.16,33.3,66.7,0.28
25,18.52,0.27,0.26,20,80,0.28
25,25.93,0.27,0.36,14.3,85.7,0.28
25,14.81,0.27,0.21,50,50,0.28
25,22.22,0.27,0.31,33.3,66.7,0.28
25,18.52,0.27,0.26,40,60,0.28
25,29.63,0.27,0.42,25,75,0.28
25,22.22,0.27,0.31,16.7,83.3,0.28
25,25.93,0.27,0.36,28.6,71.4,0.28
25,14.81,0.54,0.21,50,50,0.55
25,14.81,0.27,0.21,50,50,0.28
25,18.52,0.27,0.26,40,60,0.28
25,25.93,0.27,0.36,28.6,71.4,0.28
25,14.81,0.27,0.21,75,25,0.28
25,22.22,0.27,0.31,50,50,0.28
25,7.41,0.54,0.1,0,100,0.55
25,14.81,0.27,0.21,0,100,0.28
25,14.81,0.27,0.21,0,100,0.28
25,22.22,0.54,0.31,0,100,0.55
25,11.11,0.27,0.16,33.3,66.7,0.28
25,29.63,0.27,0.42,12.5,87.5,0.28
25,25.93,0.27,0.36,28.6,71.4,0.28
25,33.33,0.27,0.47,22.2,77.8,0.28
25,33.33,0.27,0.47,22.2,77.8,0.28
25,7.41,0.27,0.1,0,100,0.28
25,11.11,0.27,0.16,0,100,0.28
25,14.81,0.27,0.21,0,100,0.28
25,18.52,0.27,0.26,0,100,0.28
25,14.81,0.27,0.21,0,100,0.28
25,18.52,0.27,0.26,0,100,0.28
25,14.81,0.27,0.21,25,75,0.28
25,7.41,0.27,0.1,0,100,0.28
25,22.22,0.27,0.31,0,100,0.28
25,14.81,0.27,0.21,0,100,0.28
25,18.52,0.27,0.26,0,100,0.28
25,29.63,0.27,0.42,12.5,87.5,0.28
25,11.11,0.27,0.16,33.3,66.7,0.28
25,29.63,0.27,0.42,37.5,62.5,0.28
25,7.41,0.54,0.1,50,50,0.55
25,11.11,0.27,0.16,33.3,66.7,0.28
25,14.81,1.09,0.21,25,75,1.11
25,25.93,0.27,0.36,14.3,85.7,0.28
25,18.52,0.27,0.26,40,60,0.28
25,22.22,0.27,0.31,33.3,66.7,0.28
25,18.52,0.27,0.26,40,60,0.28
25,14.81,0.27,0.21,50,50,0.28
25,18.52,0.27,0.26,80,20,0.28
25,25.93,0.27,0.36,28.6,71.4,0.28
25,22.22,0.27,0.31,50,50,0.28
25,29.63,0.27,0.42,37.5,62.5,0.28
25,22.22,0.27,0.31,16.7,83.3,0.28
25,25.93,0.27,0.36,28.6,71.4,0.28
25,37.04,0.27,0.52,10,90,0.28
25,33.33,0.27,0.47,22.2,77.8,0.28
25,7.41,0.27,0.1,0,100,0.28
25,18.52,0.27,0.26,0,100,0.28
25,18.52,0.27,0.26,20,80,0.28
25,22.22,0.27,0.31,16.7,83.3,0.28
25,14.81,0.27,0.21,0,100,0.28
25,29.63,0.27,0.42,12.5,87.5,0.28
25,18.52,0.27,0.26,0,100,0.28
25,37.04,0.27,0.52,10,90,0.28
25,22.22,0.27,0.31,0,100,0.28
25,29.63,0.27,0.42,25,75,0.28
25,33.33,0.27,0.47,33.3,66.7,0.28
25,18.52,0.27,0.26,40,60,0.28
25,37.04,0.27,0.52,30,70,0.28
25,29.63,0.27,0.42,12.5,87.5,0.28
25,44.44,0.82,0.62,16.7,83.3,0.83
25,14.81,0.27,0.21,0,100,0.28
25,11.11,0.27,0.16,0,100,0.28
25,22.22,0.27,0.31,0,100,0.28
25,18.52,0.27,0.26,0,100,0.28
25,18.52,0.27,0.26,0,100,0.28
25,25.93,0.27,0.36,14.3,85.7,0.28
25,18.52,0.27,0.26,20,80,0.28
25,18.52,0.27,0.26,20,80,0.28
25,33.33,0.27,0.47,11.1,88.9,0.28
25,37.04,0.27,0.52,10,90,0.28
25,33.33,0.27,0.47,33.3,66.7,0.28
25,29.63,0.27,0.42,37.5,62.5,0.28
25,18.52,0.27,0.26,0,100,0.28
25,48.15,1.09,0.67,15.4,84.6,1.11
25,44.44,0.27,0.62,25,75,0.28
25,7.41,0.27,0.1,0,100,0.28
25,22.22,0.27,0.31,0,100,0.28
25,22.22,0.27,0.31,16.7,83.3,0.28
25,18.52,0.27,0.26,20,80,0.28
25,22.22,0.27,0.31,33.3,66.7,0.28
25,25.93,0.27,0.36,28.6,71.4,0.28
25,14.81,0.27,0.21,25,75,0.28
25,37.04,0.27,0.52,20,80,0.28
25,14.81,0.27,0.21,0,100,0.28
25,18.52,0.54,0.26,0,100,0.55
25,25.93,0.27,0.36,0,100,0.28
25,18.52,0.27,0.26,20,80,0.28
25,18.52,0.27,0.26,0,100,0.28
25,40.74,0.27,0.57,9.1,90.9,0.28
25,14.81,0.27,0.21,25,75,0.28
25,29.63,0.27,0.42,12.5,87.5,0.28
25,33.33,0.27,0.47,22.2,77.8,0.28
25,33.33,0.27,0.47,0,100,0.28
25,33.33,0.27,0.47,11.1,88.9,0.28
25,33.33,0.27,0.47,0,100,0.28
25,37.04,0.27,0.52,10,90,0.28
25,33.33,0.27,0.47,22.2,77.8,0.28
25,48.15,0.27,0.67,15.4,84.6,0.28
25,51.85,0.82,0.73,14.3,85.7,0.83
25,14.81,0.27,0.21,0,100,0.28
25,22.22,0.27,0.31,33.3,66.7,0.28
25,18.52,0.27,0.26,0,100,0.28
25,25.93,0.27,0.36,0,100,0.28
25,18.52,0.27,0.26,0,100,0.28
25,33.33,0.27,0.47,11.1,88.9,0.28
25,25.93,0.27,0.36,0,100,0.28
25,22.22,0.82,0.31,16.7,83.3,0.83
25,22.22,0.27,0.31,16.7,83.3,0.28
25,37.04,0.27,0.52,20,80,0.28
25,37.04,0.27,0.52,10,90,0.28
25,29.63,0.27,0.42,12.5,87.5,0.28
25,37.04,0.27,0.52,20,80,0.28
25,37.04,0.27,0.52,10,90,0.28
25,33.33,0.27,0.47,11.1,88.9,0.28
25,40.74,0.27,0.57,9.1,90.9,0.28
25,40.74,0.27,0.57,18.2,81.8,0.28
25,55.56,0.27,0.78,13.3,86.7,0.28
25,37.04,0.27,0.52,0,100,0.28
25,59.26,0.27,0.83,18.8,81.2,0.28
25,51.85,0.27,0.73,28.6,71.4,0.28
25,55.56,0.27,0.78,13.3,86.7,0.28
25,59.26,0.82,0.83,12.5,87.5,0.83
25,62.96,0.27,0.88,17.6,82.4,0.28
25,18.52,0.27,0.26,20,80,0.28
25,29.63,0.27,0.42,25,75,0.28
25,14.81,0.27,0.21,25,75,0.28
25,33.33,0.27,0.47,22.2,77.8,0.28
25,22.22,0.82,0.31,33.3,66.7,0.83
25,29.63,0.27,0.42,25,75,0.28
25,25.93,0.54,0.36,14.3,85.7,0.55
25,33.33,0.27,0.47,33.3,66.7,0.28
25,11.11,0.27,0.16,33.3,66.7,0.28
25,22.22,0.27,0.31,16.7,83.3,0.28
25,40.74,0.27,0.57,27.3,72.7,0.28
25,59.26,0.27,0.83,25,75,0.28
25,62.96,0.82,0.88,23.5,76.5,0.83
25,18.52,0.27,0.26,20,80,0.28
25,22.22,0.27,0.31,33.3,66.7,0.28
25,29.63,0.27,0.42,25,75,0.28
25,51.85,0.27,0.73,21.4,78.6,0.28
25,70.37,1.09,0.99,21.1,78.9,1.11
25,11.11,0.27,0.16,0,100,0.28
25,48.15,0.27,0.67,7.7,92.3,0.28
29,6.25,0.87,1.49,0,100,16.22
29,6.25,1.59,1.49,100,0,29.73
29,12.5,0.14,2.99,50,50,2.7
29,6.25,1.45,1.49,100,0,27.03
29,12.5,0.14,2.99,0,100,2.7
29,18.75,0.29,4.48,33.3,66.7,5.41
29,31.25,0.87,7.46,20,80,16.22
38,3.57,12.4,0.05,0,100,43.03
38,3.57,0.03,0.05,0,100,0.09
38,7.14,3.83,0.1,50,50,13.28
38,10.71,0.03,0.15,33.3,66.7,0.09
38,3.57,1.59,0.05,0,100,5.52
38,7.14,2.45,0.1,0,100,8.51
38,10.71,0.16,0.15,33.3,66.7,0.56
38,14.29,0.03,0.2,25,75,0.09
38,3.57,0.03,0.05,100,0,0.09
38,7.14,0.03,0.1,50,50,0.09
38,10.71,0.08,0.15,66.7,33.3,0.28
38,14.29,0.46,0.2,50,50,1.59
38,14.29,0.54,0.2,50,50,1.87
38,17.86,3.13,0.25,40,60,10.85
38,3.57,2.91,0.05,0,100,10.1
38,7.14,0.32,0.1,0,100,1.12
38,10.71,0.19,0.15,33.3,66.7,0.65
38,7.14,0.11,0.1,0,100,0.37
38,10.71,0.13,0.15,0,100,0.47
38,10.71,0.03,0.15,33.3,66.7,0.09
38,14.29,0.08,0.2,50,50,0.28
38,17.86,0.05,0.25,40,60,0.19
38,17.86,0.11,0.25,40,60,0.37
38,21.43,0.08,0.3,33.3,66.7,0.28
38,3.57,0.03,0.05,100,0,0.09
49,7.14,1.32,16.67,0,100,66.67
49,7.14,0.66,16.67,0,100,33.33
51,7.14,3.07,0.13,0,100,3.08
51,14.29,29.01,0.26,0,100,29.11
51,14.29,5.12,0.26,50,50,5.14
51,14.29,0.34,0.26,50,50,0.34
51,21.43,51.19,0.39,33.3,66.7,51.37
51,21.43,1.71,0.39,0,100,1.71
51,21.43,0.34,0.39,33.3,66.7,0.34
51,21.43,0.34,0.39,33.3,66.7,0.34
51,28.57,5.12,0.51,25,75,5.14
51,14.29,0.34,0.26,50,50,0.34
51,21.43,0.68,0.39,33.3,66.7,0.68
51,21.43,0.34,0.39,66.7,33.3,0.34
51,28.57,1.37,0.51,50,50,1.37
51,28.57,0.34,0.51,25,75,0.34
51,35.71,0.34,0.64,20,80,0.34
52,16.67,30,9.8,0,100,42.86
52,20,10,11.76,0,100,14.29
52,33.33,30,19.61,0,100,42.86
55,5,20.65,0.6,0,100,42.67
55,5,2.58,0.6,0,100,5.33
55,10,8.39,1.2,0,100,17.33
55,5,0.65,0.6,100,0,1.33
55,10,3.23,1.2,50,50,6.67
55,15,1.29,1.8,33.3,66.7,2.67
55,10,0.65,1.2,50,50,1.33
55,10,0.65,1.2,100,0,1.33
55,15,0.65,1.8,66.7,33.3,1.33
55,20,1.29,2.4,50,50,2.67
55,25,0.65,2.99,60,40,1.33
55,20,1.94,2.4,50,50,4
55,25,0.65,2.99,20,80,1.33
55,30,0.65,3.59,50,50,1.33
55,35,1.29,4.19,42.9,57.1,2.67
55,20,0.65,2.4,25,75,1.33
55,25,0.65,2.99,40,60,1.33
55,35,0.65,4.19,57.1,42.9,1.33
55,70,0.65,8.38,35.7,64.3,1.33
55,5,0.65,0.6,0,100,1.33
56,5.88,11.4,0.27,0,100,21.43
56,5.88,4.39,0.27,0,100,8.24
56,11.76,1.75,0.55,0,100,3.3
56,5.88,3.22,0.27,0,100,6.04
56,11.76,0.29,0.55,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,5.88,2.92,0.27,0,100,5.49
56,11.76,0.58,0.55,0,100,1.1
56,17.65,0.29,0.82,0,100,0.55
56,5.88,1.75,0.27,0,100,3.3
56,11.76,0.58,0.55,0,100,1.1
56,11.76,0.29,0.55,0,100,0.55
56,23.53,0.29,1.09,0,100,0.55
56,5.88,1.75,0.27,0,100,3.3
56,11.76,2.05,0.55,0,100,3.85
56,17.65,0.29,0.82,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,5.88,1.46,0.27,0,100,2.75
56,11.76,0.29,0.55,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,5.88,0.58,0.27,0,100,1.1
56,11.76,0.29,0.55,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,23.53,0.29,1.09,0,100,0.55
56,5.88,1.17,0.27,0,100,2.2
56,11.76,0.29,0.55,0,100,0.55
56,29.41,0.29,1.37,0,100,0.55
56,23.53,0.29,1.09,0,100,0.55
56,29.41,0.29,1.37,0,100,0.55
56,5.88,0.58,0.27,0,100,1.1
56,11.76,0.29,0.55,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,5.88,0.29,0.27,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,35.29,0.29,1.64,0,100,0.55
56,41.18,0.29,1.91,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,5.88,0.58,0.27,0,100,1.1
56,17.65,0.29,0.82,0,100,0.55
56,52.94,0.29,2.46,0,100,0.55
56,29.41,0.29,1.37,0,100,0.55
56,5.88,0.88,0.27,0,100,1.65
56,11.76,0.29,0.55,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,35.29,0.29,1.64,0,100,0.55
56,23.53,0.29,1.09,0,100,0.55
56,29.41,0.29,1.37,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,23.53,0.29,1.09,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,5.88,0.58,0.27,0,100,1.1
56,11.76,0.29,0.55,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,29.41,0.29,1.37,0,100,0.55
56,35.29,0.29,1.64,0,100,0.55
56,11.76,0.29,0.55,0,100,0.55
56,17.65,0.29,0.82,0,100,0.55
56,23.53,0.29,1.09,0,100,0.55
56,35.29,0.29,1.64,0,100,0.55
56,82.35,0.29,3.83,0,100,0.55
56,88.24,0.29,4.1,0,100,0.55
56,94.12,0.29,4.37,0,100,0.55
172,28.57,20,7.69,0,100,33.33
172,14.29,6.67,3.85,0,100,11.11
172,42.86,13.33,11.54,0,100,22.22
172,57.14,6.67,15.38,0,100,11.11
172,57.14,6.67,15.38,0,100,11.11
172,71.43,6.67,19.23,0,100,11.11
179,6.67,0.02,0.02,0,100,0.28
179,13.33,5.62,0.03,0,100,75.97
179,6.67,1.66,0.02,0,100,22.5
179,20,0.09,0.05,0,100,1.25
194,7.14,1.32,16.67,100,0,66.67
194,7.14,0.66,16.67,0,100,33.33
196,12.5,1.51,16.67,100,0,100
200,5.26,0.48,0.08,100,0,1.41
200,10.53,6.7,0.16,50,50,19.72
200,5.26,0.48,0.08,100,0,1.41
200,57.89,23.21,0.89,90.9,9.1,68.31
200,5.26,0.96,0.08,0,100,2.82
200,63.16,1.67,0.97,83.3,16.7,4.93
200,63.16,0.48,0.97,83.3,16.7,1.41
204,7.14,1.32,16.67,100,0,66.67
204,7.14,0.66,16.67,100,0,33.33
205,12.5,6.45,8.33,100,0,36.36
205,12.5,4.84,8.33,100,0,27.27
205,12.5,4.84,8.33,100,0,27.27
205,25,1.61,16.67,100,0,9.09
213,9.09,0.51,50,100,0,50
213,9.09,0.51,50,0,100,50
222,10,34.62,1.03,100,0,65.22
222,10,2.31,1.03,0,100,4.35
222,20,3.08,2.06,50,50,5.8
222,10,0.77,1.03,100,0,1.45
222,20,1.54,2.06,50,50,2.9
222,30,0.77,3.09,66.7,33.3,1.45
222,20,0.77,2.06,50,50,1.45
222,20,0.77,2.06,100,0,1.45
222,30,0.77,3.09,100,0,1.45
222,30,1.54,3.09,66.7,33.3,2.9
222,10,0.77,1.03,100,0,1.45
222,20,2.31,2.06,100,0,4.35
222,40,0.77,4.12,100,0,1.45
222,20,0.77,2.06,100,0,1.45
222,50,0.77,5.15,80,20,1.45
222,20,0.77,2.06,100,0,1.45
224,10,2.82,11.11,100,0,88.89
224,10,0.35,11.11,0,100,11.11
231,7.14,3.07,0.13,100,0,3.08
231,14.29,29.01,0.26,50,50,29.11
231,14.29,5.12,0.26,100,0,5.14
231,14.29,0.34,0.26,50,50,0.34
231,21.43,51.19,0.39,66.7,33.3,51.37
231,21.43,1.71,0.39,33.3,66.7,1.71
231,21.43,0.34,0.39,66.7,33.3,0.34
231,21.43,0.34,0.39,33.3,66.7,0.34
231,28.57,5.12,0.51,50,50,5.14
231,14.29,0.34,0.26,100,0,0.34
231,21.43,0.68,0.39,66.7,33.3,0.68
231,21.43,0.34,0.39,100,0,0.34
231,28.57,1.37,0.51,75,25,1.37
231,28.57,0.34,0.51,50,50,0.34
231,35.71,0.34,0.64,40,60,0.34
232,12.5,55.06,1.15,100,0,100
315,17.19,34.8,0.06,100,0,37.09
315,0.78,0.15,0,100,0,0.16
315,1.56,9.68,0.01,100,0,10.32
315,18.75,49.15,0.06,100,0,52.38
315,19.53,0.05,0.06,100,0,0.05
451,16.67,5.53,3.12,0,100,81.25
451,16.67,1.28,3.12,100,0,18.75
456,25,8.22,3.33,0,100,100
466,6.67,1.76,0.12,0,100,2.63
466,6.67,2.06,0.12,0,100,3.07
466,13.33,0.59,0.24,0,100,0.88
466,6.67,2.35,0.12,100,0,3.51
466,13.33,0.88,0.24,50,50,1.32
466,20,0.59,0.36,33.3,66.7,0.88
466,6.67,1.18,0.12,100,0,1.75
466,13.33,0.29,0.24,50,50,0.44
466,20,0.59,0.36,33.3,66.7,0.88
466,26.67,0.59,0.48,50,50,0.88
466,6.67,0.88,0.12,100,0,1.32
466,13.33,0.59,0.24,50,50,0.88
466,20,0.29,0.36,66.7,33.3,0.44
466,20,0.88,0.36,66.7,33.3,1.32
466,6.67,0.88,0.12,100,0,1.32
466,13.33,0.59,0.24,50,50,0.88
466,13.33,0.59,0.24,100,0,0.88
466,26.67,0.29,0.48,50,50,0.44
466,20,0.29,0.36,66.7,33.3,0.44
466,13.33,0.59,0.24,100,0,0.88
466,20,0.59,0.36,100,0,0.88
466,33.33,0.29,0.6,60,40,0.44
466,40,0.59,0.72,66.7,33.3,0.88
466,6.67,0.59,0.12,100,0,0.88
466,13.33,0.59,0.24,50,50,0.88
466,20,0.29,0.36,33.3,66.7,0.44
466,13.33,0.29,0.24,100,0,0.44
466,20,0.29,0.36,66.7,33.3,0.44
466,20,0.29,0.36,66.7,33.3,0.44
466,20,0.29,0.36,66.7,33.3,0.44
466,26.67,0.29,0.48,50,50,0.44
466,20,0.59,0.36,100,0,0.88
466,20,0.29,0.36,100,0,0.44
466,13.33,0.29,0.24,100,0,0.44
466,20,0.29,0.36,66.7,33.3,0.44
466,33.33,0.29,0.6,60,40,0.44
466,33.33,0.29,0.6,80,20,0.44
466,33.33,0.29,0.6,80,20,0.44
466,40,0.29,0.72,66.7,33.3,0.44
466,33.33,0.29,0.6,100,0,0.44
466,6.67,0.59,0.12,100,0,0.88
466,20,0.29,0.36,33.3,66.7,0.44
466,13.33,0.29,0.24,100,0,0.44
466,20,0.29,0.36,66.7,33.3,0.44
466,20,0.29,0.36,66.7,33.3,0.44
466,26.67,0.29,0.48,75,25,0.44
466,26.67,0.29,0.48,75,25,0.44
466,33.33,0.29,0.6,60,40,0.44
466,40,0.29,0.72,66.7,33.3,0.44
466,26.67,0.29,0.48,75,25,0.44
466,26.67,0.29,0.48,75,25,0.44
466,40,0.29,0.72,83.3,16.7,0.44
466,13.33,0.29,0.24,100,0,0.44
466,33.33,0.29,0.6,100,0,0.44
466,20,0.29,0.36,100,0,0.44
466,33.33,0.29,0.6,80,20,0.44
466,33.33,0.29,0.6,100,0,0.44
466,6.67,1.76,0.12,100,0,2.63
466,13.33,0.29,0.24,50,50,0.44
466,26.67,0.29,0.48,50,50,0.44
466,20,0.29,0.36,66.7,33.3,0.44
466,13.33,0.59,0.24,100,0,0.88
466,20,0.29,0.36,100,0,0.44
466,26.67,0.29,0.48,75,25,0.44
466,26.67,0.29,0.48,100,0,0.44
466,40,0.29,0.72,66.7,33.3,0.44
466,33.33,0.29,0.6,60,40,0.44
466,20,0.59,0.36,100,0,0.88
466,26.67,0.29,0.48,75,25,0.44
466,26.67,0.29,0.48,100,0,0.44
466,46.67,0.29,0.84,85.7,14.3,0.44
466,13.33,0.29,0.24,100,0,0.44
466,20,0.29,0.36,100,0,0.44
466,26.67,0.29,0.48,75,25,0.44
466,33.33,0.29,0.6,80,20,0.44
466,20,0.29,0.36,100,0,0.44
466,6.67,1.76,0.12,100,0,2.63
466,13.33,0.59,0.24,50,50,0.88
466,20,0.29,0.36,33.3,66.7,0.44
466,20,0.29,0.36,66.7,33.3,0.44
466,20,0.29,0.36,100,0,0.44
466,20,0.29,0.36,66.7,33.3,0.44
466,40,0.29,0.72,83.3,16.7,0.44
466,40,0.29,0.72,83.3,16.7,0.44
466,13.33,0.29,0.24,100,0,0.44
466,20,0.29,0.36,100,0,0.44
466,33.33,0.29,0.6,60,40,0.44
466,46.67,0.29,0.84,71.4,28.6,0.44
466,26.67,0.29,0.48,100,0,0.44
466,40,0.29,0.72,83.3,16.7,0.44
466,53.33,0.29,0.96,75,25,0.44
466,13.33,0.29,0.24,100,0,0.44
466,20,0.29,0.36,100,0,0.44
466,33.33,0.29,0.6,80,20,0.44
466,53.33,0.29,0.96,75,25,0.44
466,13.33,0.88,0.24,100,0,1.32
466,33.33,0.29,0.6,60,40,0.44
466,40,0.29,0.72,83.3,16.7,0.44
466,20,0.29,0.36,100,0,0.44
466,33.33,0.29,0.6,100,0,0.44
466,33.33,0.29,0.6,100,0,0.44
466,46.67,0.29,0.84,71.4,28.6,0.44
466,46.67,0.29,0.84,85.7,14.3,0.44
466,53.33,0.29,0.96,75,25,0.44
466,46.67,0.29,0.84,71.4,28.6,0.44
466,46.67,0.29,0.84,85.7,14.3,0.44
466,46.67,0.29,0.84,85.7,14.3,0.44
466,26.67,0.29,0.48,100,0,0.44
466,40,0.29,0.72,83.3,16.7,0.44
466,60,0.29,1.08,77.8,22.2,0.44
466,60,0.29,1.08,77.8,22.2,0.44
466,66.67,0.29,1.2,80,20,0.44
466,6.67,1.18,0.12,100,0,1.75
466,13.33,0.29,0.24,100,0,0.44
466,20,0.29,0.36,66.7,33.3,0.44
466,33.33,0.29,0.6,60,40,0.44
