"","pattern_count","ID","target","sex","class","gain_ratio_1","gain_ratio_4","gain_ratio_3","gain_ratio_2","gain_ratio_5","gain_ratio_6","gain_ratio_7","gain_ratio_8","gain_ratio_11","gain_ratio_9","gain_ratio_10","missings_count"
"X1.50",1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,3
"X6.2",6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"X2.16",2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2
"X1.51",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,3
"X1.52",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,3
"X1.53",1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,3
"X1.54",1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,3
"X1.55",1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,6
"X1.56",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,6
"X1.57",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2
"X1.58",1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,3
"X1.59",1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,5
"X1.60",1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,7
"X1.61",1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,4
"X1.62",1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,6
"X1.63",1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,8
"X1.64",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2
"X1.65",1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,3
"X1.66",1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,5
"X1.67",1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,8
"X3.4",3,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2
"X1.68",1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,5
"X1.69",1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,6
"X1.70",1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,3
"X1.71",1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,5
"X1.72",1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,5
"X1.73",1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,7
"X1.74",1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,7
"X1.75",1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,8
"X1.76",1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,7
"X1.77",1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,7
"X1.78",1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,7
"X1.79",1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,4
"X1.80",1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,6
"X1.81",1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,9
"X1.82",1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,9
"X1.83",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10
"X4.1",4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"X1.84",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,2
"X1.85",1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,3
"X1.86",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,5
"X1.87",1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,3
"X1.88",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,2
"X1.89",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,3
"X1.90",1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,6
"X1.91",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,2
"X1.92",1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,3
"X2.17",2,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,5
"X1.93",1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,6
"X1.94",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,2
"X1.95",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,3
"X1.96",1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,3
"X1.97",1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,3
"X1.98",1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,6
"X1.99",1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3
"X1.100",1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,7
"X2.18",2,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,3
"X1.101",1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,7
"X1.102",1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,6
"X1.103",1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,7
"X1.104",1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,7
"X1.105",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,9
"X1.106",1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,3
"X1.107",1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,5
"X1.108",1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,7
"X1.109",1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,8
"X1.110",1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,5
"X1.111",1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,8
"X1.112",1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,8
"X1.113",1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,6
"X1.114",1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,5
"X1.115",1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,5
"X1.116",1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,7
"X1.117",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,10
"X1.118",1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3
"X1.119",1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,7
"X1.120",1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,6
"X1.121",1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,9
"X5",5,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,4
"X1.122",1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,6
"X1.123",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,10
"X1.124",1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,8
"X1.125",1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,10
"X1.126",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,10
"X2.19",2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,11
"X",NA,0,0,0,0,58,65,68,69,69,81,81,83,84,88,88,834
